item,slot,weapon_type,required_level,tier,rarity,attack,magic_attack,defense,bonus_hp,bonus_mp,bonus_str,bonus_dex,bonus_int,crit,lifesteal,gold_bonus,weight,item_power,value_gold
Espada do Aprendiz,mainhand,sword,1,1,Comum,8,0,0,0,0,0,0,0,0.0,0.0,0.0,15.0,16,16
Espada do Aprendiz,mainhand,sword,1,1,Incomum,10,0,0,0,0,0,0,0,0.0,0.0,0.0,15.0,20,25
Espada do Aprendiz,mainhand,sword,1,1,Raro,20,0,0,0,0,0,0,0,1.5,0.0,0.0,15.0,45,95
Espada do Aprendiz,mainhand,sword,1,1,Épico,28,0,0,0,0,0,0,0,3.0,2.0,0.0,15.0,73,237
Espada do Aprendiz,mainhand,sword,1,1,Lendário,39,0,0,0,0,0,0,0,4.5,0.0,0.0,15.0,92,506
Machadinha de Madeira,mainhand,axe,1,1,Comum,9,0,0,0,0,0,0,0,0.0,0.0,0.0,18.0,18,18
Machadinha de Madeira,mainhand,axe,1,1,Incomum,12,0,0,0,0,0,0,0,0.0,0.0,0.0,18.0,24,30
Machadinha de Madeira,mainhand,axe,1,1,Raro,22,0,0,0,0,0,0,0,1.5,1.0,0.0,18.0,53,111
Machadinha de Madeira,mainhand,axe,1,1,Épico,31,0,0,0,0,0,0,0,3.0,0.0,0.0,18.0,71,231
Machadinha de Madeira,mainhand,axe,1,1,Lendário,42,0,0,0,0,0,0,0,4.5,0.0,0.0,18.0,98,539
Clava de Madeira,mainhand,club,1,1,Comum,9,0,1,0,0,0,0,0,0.0,0.0,0.0,20.0,20,20
Clava de Madeira,mainhand,club,1,1,Incomum,12,0,2,0,0,0,0,0,0.0,0.0,0.0,20.0,28,35
Clava de Madeira,mainhand,club,1,1,Raro,22,0,2,0,0,0,0,0,1.5,0.0,0.0,20.0,53,111
Clava de Madeira,mainhand,club,1,1,Épico,31,0,3,0,0,0,0,0,3.0,0.0,0.0,20.0,78,254
Clava de Madeira,mainhand,club,1,1,Lendário,42,0,4,0,0,0,0,0,4.5,3.0,0.0,20.0,118,649
Arco Curvo,mainhand,bow,1,1,Comum,8,0,0,0,0,0,0,0,0.0,0.0,0.0,12.0,16,16
Arco Curvo,mainhand,bow,1,1,Incomum,10,0,0,0,0,0,0,0,0.0,0.0,0.0,12.0,20,25
Arco Curvo,mainhand,bow,1,1,Raro,20,0,0,0,0,0,0,0,1.5,0.0,0.0,12.0,45,95
Arco Curvo,mainhand,bow,1,1,Épico,28,0,0,0,0,0,0,0,3.0,0.0,0.0,12.0,65,211
Arco Curvo,mainhand,bow,1,1,Lendário,39,0,0,0,0,0,0,0,4.5,0.0,0.0,12.0,92,506
Varinha do Aprendiz,mainhand,wand,1,1,Comum,0,10,0,0,0,0,0,0,0.0,0.0,0.0,8.0,20,20
Varinha do Aprendiz,mainhand,wand,1,1,Incomum,0,13,0,0,0,0,0,0,0.0,0.0,0.0,8.0,26,33
Varinha do Aprendiz,mainhand,wand,1,1,Raro,0,24,0,0,0,0,0,0,1.5,1.0,0.0,8.0,57,120
Varinha do Aprendiz,mainhand,wand,1,1,Épico,0,33,0,0,0,0,0,0,3.0,0.0,0.0,8.0,75,244
Varinha do Aprendiz,mainhand,wand,1,1,Lendário,0,45,0,0,0,0,0,0,4.5,3.0,0.0,8.0,116,638
Capacete de Couro,head,none,1,1,Comum,0,0,3,0,0,0,0,0,0.0,0.0,0.0,12.0,7,7
Capacete de Couro,head,none,1,1,Incomum,0,0,5,3,0,0,0,0,0.0,0.0,0.0,12.0,11,14
Capacete de Couro,head,none,1,1,Raro,0,0,11,15,0,0,0,0,0.0,0.0,0.0,12.0,26,55
Capacete de Couro,head,none,1,1,Épico,0,0,17,27,0,0,0,0,0.0,0.0,0.0,12.0,41,133
Capacete de Couro,head,none,1,1,Lendário,0,0,24,42,0,0,0,0,0.0,0.0,0.0,12.0,58,319
Túnica de Couro,chest,none,1,1,Comum,0,0,4,5,0,0,0,0,0.0,0.0,0.0,25.0,9,9
Túnica de Couro,chest,none,1,1,Incomum,0,0,6,11,0,0,0,0,0.0,0.0,0.0,25.0,15,19
Túnica de Couro,chest,none,1,1,Raro,0,0,13,34,0,0,0,0,0.0,0.0,0.0,25.0,33,69
Túnica de Couro,chest,none,1,1,Épico,0,0,19,56,0,0,0,0,0.0,0.0,0.0,25.0,49,159
Túnica de Couro,chest,none,1,1,Lendário,0,0,27,84,0,0,0,0,0.0,0.0,0.0,25.0,70,385
Calça de Tecido,legs,none,1,1,Comum,0,0,2,0,0,0,0,0,0.0,0.0,0.0,10.0,4,5
Calça de Tecido,legs,none,1,1,Incomum,0,0,4,4,0,0,0,0,0.0,0.0,0.0,10.0,9,11
Calça de Tecido,legs,none,1,1,Raro,0,0,9,20,0,0,0,0,0.0,0.0,0.0,10.0,22,46
Calça de Tecido,legs,none,1,1,Épico,0,0,14,36,0,0,0,0,0.0,0.0,0.0,10.0,35,114
Calça de Tecido,legs,none,1,1,Lendário,0,0,21,56,0,0,0,0,0.0,0.0,0.0,10.0,53,292
Sandálias Ágeis,boots,none,1,1,Comum,0,0,1,0,0,0,1,0,0.0,0.0,0.0,5.0,8,8
